Image,Similarity
nz,0.9701448678970336
tv,0.5644010901451111
sa,0.3546174168586731
ao,0.3352059721946716
sb,0.2887750566005707
vu,0.2736271917819977
pk,0.2638845443725586
fj,0.2305434048175811
pg,0.2254044115543365
bz,0.1968656331300735
ke,0.170505553483963
kz,0.1066784858703613
ht,0.1053208410739898
to,0.0971062034368515
za,0.0846358314156532
se,0.0742770433425903
ve,0.0683327168226242
ru,0.0672956779599189
eg,0.0590820685029029
jm,0.026461873203516
br,0.0230034999549388
py,0.0137770101428031
co,0.0096356170251965
uy,0.0058851260691881
bo,-0.0117128742858767
pw,-0.0167858507484197
ma,-0.0203221179544925
gb,-0.0258294939994812
cu,-0.0366310775279998
th,-0.0433535613119602
zw,-0.0550961755216121
as,-0.0913555771112442
ws,-0.0931029170751571
cr,-0.1003975644707679
il,-0.1024098545312881
ug,-0.1086606681346893
ec,-0.1086944267153739
in,-0.1113058254122734
gr,-0.124310091137886
cn,-0.1576175093650818
pl,-0.162630021572113
do,-0.1888743937015533
vn,-0.2012722194194793
de,-0.2026761323213577
kr,-0.2033919990062713
cl,-0.2353396415710449
ar,-0.2546123266220093
gt,-0.2589422762393951
mx,-0.2667836844921112
fr,-0.2833524942398071
pe,-0.2847557365894317
jp,-0.2936923205852508
es,-0.2959663867950439
it,-0.3068335652351379
ua,-0.3092883825302124
ng,-0.3110050857067108
dz,-0.341187059879303
us,-0.3522316217422485
ca,-0.3554024398326874
id,-0.392389714717865
