1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2
2
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
control,"45    0.423
Name: Score, dtype: float64","49    0.641475
Name: Score, dtype: float64","46    0.4156
Name: Score, dtype: float64","60    0.630675
Name: Score, dtype: float64","51    0.4201
Name: Score, dtype: float64","34    0.4187
Name: Score, dtype: float64","50    0.4343
Name: Score, dtype: float64","4    0.4118
Name: Score, dtype: float64","2    0.4458
Name: Score, dtype: float64","11    0.4195
Name: Score, dtype: float64","38    0.4339
Name: Score, dtype: float64","28    0.4061
Name: Score, dtype: float64","47    0.4098
Name: Score, dtype: float64","24    0.4175
Name: Score, dtype: float64","6    0.4126
Name: Score, dtype: float64","43    0.4013
Name: Score, dtype: float64","24    0.4175
Name: Score, dtype: float64","5    0.4419
Name: Score, dtype: float64","51    0.4201
Name: Score, dtype: float64","35    0.4287
Name: Score, dtype: float64"
control,1,1,1,1.025886,0.426,0.4232,1.2340289999999998,0.41500000000000004,0.4343,0.4049,0.4203,0.4165,0.4339,0.42210000000000003,0.4144,0.4287,0.4101,0.4186,0.41260000000000013,0.4113,0.41150000000000003,0.4195,0.4187
control,3.482061,0.41500000000000004,0.4061,0.4118,0.4013,0.42,0.4186,0.4067,0.4187,0.4227,0.4073,0.42,0.4187,0.4339,0.4187,0.43620000000000003,0.4343,0.4267,0.393,0.4133
control,3.376037,0.4252,0.4162,0.4165,0.4187,0.4005,0.4111,0.42010000000000003,0.41960000000000003,0.41500000000000004,0.42210000000000003,0.4073,0.4351,0.4144,0.4156,0.4267,0.4123,0.4227,0.41500000000000004,0.4088
test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test,0.42010000000000003,0.41150000000000003,0.43620000000000003,0.63282,0.423,0.42,0.44580000000000003,0.4419,0.44580000000000003,0.4174,0.41500000000000004,0.611775,0.4026,0.4007,0.4026,0.4007,0.4049,0.41150000000000003,0.602011,0.622575
control,4.617378,1.7986440000000001,3.2324289999999998,2.901997,3.230596,1.306926,0.949596,0.62682,0.4419,0.42010000000000003,0.4026,0.423,0.4156,0.4351,0.432,0.4088,0.4165,0.4232,0.4175,0.43620000000000003
test,4.632554,0.61802,0.62322,0.622311,0.6349790000000001,1.594943,0.820081,0.793732,0.6054200000000001,0.4174,0.41500000000000004,0.41910000000000003,0.4419,0.44580000000000003,0.4419,0.6301749999999999,0.393,0.4162,0.4203,0.42210000000000003
control,3.369509,1.0098390000000002,0.4103,0.4171,0.4098,0.4232,0.4067,0.4232,0.393,0.41910000000000003,0.4227,0.4339,0.4157,0.426,0.4067,0.4419,0.4419,0.4112,0.4351,0.4174
control,5.79854,3.040464,2.628643,2.436607,1.805331,3.28695,1.610705,6.85684,3.326936,1.415317,2.488169,4.7530079999999995,3.497013,3.338496,3.909701,1.549594,4.501815000000001,5.821478,1.7886520000000001,2.3492260000000003
test,9.087964000000001,0.4302,0.44580000000000003,0.4013,0.62622,0.41500000000000004,0.4013,0.4007,0.6083109999999999,1.024156,1.891583,0.4103,0.4098,0.4113,0.4013,0.42210000000000003,0.4013,0.42210000000000003,0.41500000000000004,0.4013
test,2.6996209999999996,1.405398,2.1929969999999996,2.892974,1.282375,0.721312,2.250535,0.4067,0.885076,1.434024,0.797739,1.231508,1.5693560000000002,1.9957360000000002,1.000195,2.197763,1.0191270000000001,1.346074,2.385538,0.63012
test,5.886482,2.952947,4.740952,4.0525079999999996,1.710821,4.37045,4.461388,3.189094,5.346916,1.6668049999999999,4.633267,5.270016,2.997472,4.954333,4.000821999999999,6.643126,2.026082,5.181991,5.531313,7.884909
control,5.795967999999999,0.60902,0.41150000000000003,0.41500000000000004,0.4005,0.41960000000000003,0.423,0.41150000000000003,0.4266,0.4227,0.608411,0.4049,0.4133,0.4232,0.4005,0.41500000000000004,0.4049,0.41260000000000013,0.4174,0.41500000000000004
test,7.614598,3.085084,1.539788,2.105305,5.324103,1.366315,2.513814,2.233608,2.0125159999999997,4.968125,4.989167999999999,2.621887,3.7455249999999998,2.769326,5.247803,3.01723,2.590869,3.661185,6.569197,3.068998
control,8.212494999999999,0.620111,0.4232,1.429523,0.613611,1.9928119999999998,1.423961,1.6246479999999999,1.9573589999999998,1.418482,1.309482,1.9771210000000001,1.649135,1.83592,1.017647,1.6507109999999998,0.628475,0.4073,1.151705,0.9089510000000001
